strategy_name,player_initial_score,dealer_upcard_value,player_final_score,player_bust,player_blackjack,result
Basic,16,4,26,True,False,loss
Basic,12,7,22,True,False,loss
Basic,14,4,25,True,False,loss
Basic,15,2,18,False,False,loss
Basic,7,10,26,True,False,loss
Basic,5,10,22,True,False,loss
Basic,19,11,19,False,False,win
Basic,12,2,24,True,False,loss
Basic,7,10,18,False,False,loss
Basic,20,10,20,False,False,win
Basic,19,5,19,False,False,win
Basic,8,10,26,True,False,loss
Basic,14,2,23,True,False,loss
Basic,8,3,24,True,False,loss
Basic,8,5,17,False,False,loss
Basic,5,3,20,False,False,win
Basic,18,5,18,False,False,win
Basic,7,7,18,False,False,loss
Basic,10,3,17,False,False,win
Basic,10,10,25,True,False,loss
Basic,6,2,25,True,False,loss
Basic,14,11,20,False,False,win
Basic,18,5,18,False,False,win
Basic,10,10,23,True,False,loss
Basic,9,3,17,False,False,loss
Basic,7,10,19,False,False,loss
Basic,13,9,20,False,False,draw
Basic,14,10,23,True,False,loss
Basic,18,10,18,False,False,loss
Basic,18,11,18,False,False,loss
Basic,17,9,17,False,False,loss
Basic,12,10,22,True,False,loss
Basic,21,8,21,False,True,win
Basic,19,8,19,False,False,win
Basic,21,6,21,False,True,win
Basic,12,10,20,False,False,draw
Basic,15,10,25,True,False,loss
Basic,14,6,26,True,False,loss
Basic,17,10,17,False,False,loss
Basic,20,2,20,False,False,win
Basic,13,5,19,False,False,win
Basic,12,4,17,False,False,win
Basic,12,10,18,False,False,loss
Basic,16,5,26,True,False,loss
Basic,11,10,17,False,False,draw
Basic,20,2,20,False,False,win
Basic,20,9,20,False,False,win
Basic,11,3,21,False,False,win
Basic,15,6,19,False,False,win
Basic,6,10,20,False,False,win
Basic,14,4,24,True,False,loss
Basic,18,10,18,False,False,loss
Basic,14,2,21,False,False,win
Basic,13,8,23,True,False,loss
Basic,13,4,21,False,False,win
Basic,17,11,17,False,False,loss
Basic,14,4,23,True,False,loss
Basic,11,10,21,False,False,win
Basic,16,10,16,False,False,loss
Basic,7,6,19,False,False,win
Basic,16,6,18,False,False,loss
Basic,6,11,26,True,False,loss
Basic,12,5,21,False,False,win
Basic,11,10,20,False,False,win
Basic,11,7,25,True,False,loss
Basic,16,5,18,False,False,loss
Basic,12,2,18,False,False,loss
Basic,9,9,19,False,False,loss
Basic,12,10,18,False,False,win
Basic,13,10,23,True,False,loss
Basic,18,4,18,False,False,win
Basic,21,6,21,False,True,win
Basic,16,7,18,False,False,win
Basic,12,11,19,False,False,draw
Basic,10,7,20,False,False,win
Basic,20,10,20,False,False,draw
Basic,12,9,19,False,False,win
Basic,16,8,26,True,False,loss
Basic,14,10,19,False,False,loss
Basic,7,11,23,True,False,loss
Basic,15,10,23,True,False,loss
Basic,20,10,20,False,False,win
Basic,13,10,25,True,False,loss
Basic,8,10,22,True,False,loss
Basic,18,8,18,False,False,loss
Basic,15,6,22,True,False,loss
Basic,17,10,17,False,False,draw
Basic,15,4,18,False,False,win
Basic,9,8,19,False,False,win
Basic,17,7,17,False,False,draw
Basic,17,6,17,False,False,loss
Basic,12,11,19,False,False,draw
Basic,18,10,18,False,False,loss
Basic,9,4,19,False,False,draw
Basic,10,10,23,True,False,loss
Basic,17,3,17,False,False,loss
Basic,11,10,18,False,False,loss
Basic,16,10,20,False,False,win
Basic,14,11,24,True,False,loss
Basic,7,11,7,False,False,loss
